Date,Close,rsi,macd,ema_20,ema_50,bb_width,obv,atr
2013-03-14,-0.765070236381789,-0.8233953078745228,0.18305293163160213,-0.7584079064100173,-0.7022540519021288,0.35427490875821355,-2.345866473930069,-0.4900433304049929
2013-03-15,-0.7469555579427876,-0.43051475621048163,0.3511760934142341,-0.7578893927307195,-0.7036616172437472,0.10637469982964107,-2.165634692945836,-0.4861652026453169
2013-03-18,-0.727379537133818,-0.08038156121033971,0.5842839794283348,-0.7555043671763438,-0.704215428165221,0.01547584627404251,-1.995972190222603,-0.4576794135908865
2013-03-19,-0.7293761229395063,-0.1209339616940293,0.7018675800343969,-0.7535418916410733,-0.7048289668347588,-0.04566532580825146,-2.1434060596045987,-0.4520469237385693
2013-03-20,-0.7332878854142219,-0.20296667479068983,0.7265592588814758,-0.7521491605278074,-0.7055780159249868,-0.013814144822636787,-2.2297940597810353,-0.4711513034285446
2013-03-21,-0.7322328250395972,-0.18238759048117614,0.7228647489070509,-0.7507858123083532,-0.7062546519395316,0.02828864847034317,-2.1225284632413377,-0.48977029895374674
2013-03-22,-0.7173319491913308,0.09416481468406258,0.7914234341839002,-0.7480939664502141,-0.7062969085069063,0.11103574765375629,-2.011946400059648,-0.4988751432318457
2013-03-25,-0.714621264229416,0.14141245869867994,0.8192082323620438,-0.7453931936538676,-0.7062269322060748,0.25092829469465855,-1.871688543210905,-0.513920618122557
2013-03-26,-0.718581597258462,0.03949108692329178,0.7739453661658153,-0.7433372328771848,-0.7063212521512712,0.3456811035855287,-1.9540555626831675,-0.5436019384081463
2013-03-27,-0.7332878854142219,-0.31041875648903816,0.6123933476687407,-0.7429163740271464,-0.7070117802486948,0.4057203292933039,-2.0467622468233055,-0.5431480068049631
2013-03-28,-0.7485785985104012,-0.6187800139147361,0.38110622431532803,-0.7440320904504764,-0.7082989759692505,0.44400888372259384,-2.170704216269808,-0.5424515697815089
2013-04-01,-0.77089773556337,-0.9843311188165241,0.07083527562507066,-0.7472259095387934,-0.7104461479081178,0.5125753284056412,-2.279782427966152,-0.511593158393139
2013-04-02,-0.7694691299506708,-0.9501618953072354,-0.11586266445742104,-0.7499757385539608,-0.712450840562036,0.4200690212657616,-2.131580567726606,-0.5061198095298204
2013-04-03,-0.7658981250442303,-0.8615688291627333,-0.20094570864909825,-0.7521141868526924,-0.7142312474267374,0.40592115847070026,-2.0299236554394464,-0.5243833456922788
2013-04-04,-0.7728291533297049,-0.977966208382225,-0.28692045901977753,-0.7547273092430389,-0.7162245687222392,0.4060049731998213,-2.1302459876955773,-0.5289277513116526
2013-04-05,-0.7801660053977465,-1.0964264374346115,-0.3710326051234054,-0.757809616413673,-0.7184390094493738,0.4875204083038898,-2.237634619505311,-0.5425407519453905
2013-04-08,-0.7752803371224136,-0.9608378497019485,-0.3679573312059323,-0.7601202129182157,-0.7203673105033511,0.512248854045218,-2.153438527929454,-0.5718257568383452
2013-04-09,-0.7740306381427516,-0.9253427669554762,-0.3336558157532436,-0.7620884452775638,-0.7221690135018501,0.5600791850745173,-2.067623386239619,-0.5949539817931747
2013-04-10,-0.7598921774423887,-0.5469617371625619,-0.19564945702291725,-0.7624855037508597,-0.7233233176362358,0.4868002917019654,-1.9624086387552369,-0.5873164055438913
2013-04-11,-0.7621001520757293,-0.5947139669214083,-0.10757751803210196,-0.7630608403651692,-0.7245224238542534,0.46051826808611085,-2.054311283487368,-0.6036251869551431
2013-04-12,-0.7694530925034863,-0.7519528412449383,-0.08925195056741335,-0.7643010111542828,-0.7259744514784114,0.49511262314221893,-2.121094357864484,-0.6272840166795036
2013-04-15,-0.7856037691564761,-1.0543136267634814,-0.17362984214174543,-0.7670037280667228,-0.7280283641043068,0.6559932766614858,-2.209961871381011,-0.621732500443544
2013-04-16,-0.7752316138304908,-0.7706490020673222,-0.14223607136466487,-0.768433926368886,-0.7295786244873099,0.6080553685962297,-2.1243826125974232,-0.6357484179299168
2013-04-17,-0.8132796172192288,-1.3356729796043885,-0.35983256367667604,-0.7734516519698016,-0.7326201653710155,0.9617212728312616,-2.3888849332508473,-0.5313744544643483
2013-04-18,-0.830729021618988,-1.522719001715215,-0.5851129394026369,-0.7796992623221695,-0.7362542358178081,1.3807981708900208,-2.5753687867468513,-0.5008127946019875
2013-04-19,-0.8331963955964734,-1.547682706317632,-0.7030540989327788,-0.7855933426661994,-0.7398464441708315,1.6543856749974064,-2.745892536360337,-0.48094828562363207
2013-04-22,-0.819983524705051,-1.2123438290825423,-0.6423029651767888,-0.7896329457931781,-0.7427587949307056,1.5556348647001605,-2.625566393257443,-0.47804824479946423
2013-04-23,-0.8078743865676452,-0.9335436483208586,-0.47862597409386787,-0.7921027102838707,-0.7450629732514713,1.2948078550711724,-2.439659316568742,-0.48612201371629016
2013-04-24,-0.8089618782243542,-0.9494605376923343,-0.3452444343650915,-0.7944436913046883,-0.7473211531942949,1.0499585438279089,-2.7110453430310653,-0.4219888046889501
2013-04-25,-0.8042220743496051,-0.837084942660029,-0.19857983342235985,-0.796097839816599,-0.7492974283812438,0.8315510218587466,-2.603336976252066,-0.4408232439135164
2013-04-26,-0.7899054707041662,-0.5192277886446508,0.012444838449038214,-0.7961932924401381,-0.7506121918311687,0.6426718407044888,-2.389481301661659,-0.44710651779361554
2013-04-29,-0.768933631952297,-0.12921282085453167,0.29667010758046203,-0.7942271522915091,-0.7510199011796143,0.5885856228245896,-2.21026671673161,-0.4205314922697435
2013-04-30,-0.748383908992833,0.1817536161551087,0.6083532534332946,-0.7904370737743327,-0.7505733463546145,0.640945749685684,-2.0167189146744247,-0.40294099565675806
2013-05-01,-0.7540486917261537,0.06562221596762467,0.7461227448650318,-0.7875623642113184,-0.7503753844082194,0.7124210519220675,-2.1585926869805845,-0.4118204135170778
2013-05-02,-0.7439362921320284,0.21308456522616526,0.8702339319300384,-0.783971741659048,-0.749772675123992,0.813117386686792,-2.0405313332433237,-0.4268777744170605
2013-05-03,-0.7366966320851787,0.31438835192375475,0.9582430481922103,-0.7800145417083766,-0.7488982773140115,0.9601150769772016,-1.9394104472281688,-0.4495922202787158
2013-05-06,-0.7192798117050963,0.5370342543992347,1.0840666346790884,-0.7747296435430252,-0.7473476931232574,1.1644989510083883,-1.800410371324699,-0.44591160009385145
2013-05-07,-0.7226075565396382,0.45799986100920503,1.0872964506822644,-0.7702737535250513,-0.7459936633484007,1.370748631573898,-1.9358032411901036,-0.44342699213729825
2013-05-08,-0.7141991993495415,0.5649008707380694,1.0885879843743334,-0.7654193128028484,-0.7443497344614848,1.545006056940178,-1.803532489259883,-0.45479765441122516
2013-05-09,-0.720767577678521,0.4006928573746453,0.9870268969630326,-0.7616700432558485,-0.7430382142659459,1.7177486518318492,-1.9150612187231246,-0.47684173246531675
2013-05-10,-0.7269768190156266,0.24816382379839788,0.8263930367390074,-0.7588855419513049,-0.7420314170136504,1.850609031766363,-2.0087796132684637,-0.48730273810656355
2013-05-13,-0.7240846308816065,0.2937079668391284,0.6953976187550861,-0.7560831744235618,-0.7409461222816656,1.9301787849021574,-1.9200719672365696,-0.5126650812705833
2013-05-14,-0.7418618610668314,-0.12615641389687837,0.45152949195290015,-0.7552875465464021,-0.7406285666528494,2.041216480714953,-2.0452113754895382,-0.49944461026258447
